Disease," Symptom_1",Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
"Fungal infection "," ['itching'"," ' nodal_skin_eruptions'"," ' dischromic _patches'"," ' skin_rash']",,,,,,,,,,,,,
"Allergy "," [' chills'"," ' watering_from_eyes'"," ' continuous_sneezing'"," ' shivering']",,,,,,,,,,,,,
"GERD "," [' vomiting'"," ' acidity'"," ' stomach_pain'"," ' chest_pain'"," ' cough'"," ' ulcers_on_tongue']",,,,,,,,,,,
"Chronic cholestasis "," ['itching'"," ' abdominal_pain'"," ' vomiting'"," ' loss_of_appetite'"," ' nausea'"," ' yellowing_of_eyes'"," ' yellowish_skin']",,,,,,,,,,
"Drug Reaction "," ['itching'"," ' skin_rash'"," ' spotting_ urination'"," ' stomach_pain'"," ' burning_micturition']",,,,,,,,,,,,
"Peptic ulcer diseae "," [' passage_of_gases'"," ' abdominal_pain'"," ' vomiting'"," ' internal_itching'"," ' loss_of_appetite'"," ' indigestion']",,,,,,,,,,,
"AIDS "," [' extra_marital_contacts'"," ' muscle_wasting'"," ' patches_in_throat'"," ' high_fever']",,,,,,,,,,,,,
"Diabetes  "," [' lethargy'"," ' polyuria'"," ' blurred_and_distorted_vision'"," ' excessive_hunger'"," ' fatigue'"," ' weight_loss'"," ' restlessness'"," ' irregular_sugar_level'"," ' obesity'"," ' increased_appetite']",,,,,,,
"Gastroenteritis "," [' dehydration'"," ' sunken_eyes'"," ' vomiting'"," ' diarrhoea']",,,,,,,,,,,,,
"Bronchial Asthma "," [' high_fever'"," ' fatigue'"," ' cough'"," ' breathlessness'"," ' mucoid_sputum'"," ' family_history']",,,,,,,,,,,
"Hypertension  "," [' lack_of_concentration'"," ' headache'"," ' chest_pain'"," ' loss_of_balance'"," ' dizziness']",,,,,,,,,,,,
"Migraine "," [' blurred_and_distorted_vision'"," ' acidity'"," ' excessive_hunger'"," ' headache'"," ' indigestion'"," ' stiff_neck'"," ' visual_disturbances'"," ' depression'"," ' irritability']",,,,,,,,
"Cervical spondylosis "," [' back_pain'"," ' neck_pain'"," ' weakness_in_limbs'"," ' loss_of_balance'"," ' dizziness']",,,,,,,,,,,,
